width,learning_rate,dropout,l2,best_val_acc
16,0.09,0.0,0.0,0.7740384615384616
16,0.09,0.0,0.0001,0.7779807692307692
16,0.09,0.1,0.0,0.755
16,0.09,0.1,0.0001,0.7560096153846154
16,0.12,0.0,0.0,0.7851923076923077
16,0.12,0.0,0.0001,0.7832211538461539
16,0.12,0.1,0.0,0.7515384615384615
16,0.12,0.1,0.0001,0.75125
16,0.15,0.0,0.0,0.7763461538461538
16,0.15,0.0,0.0001,0.7766826923076923
16,0.15,0.1,0.0,0.755625
16,0.15,0.1,0.0001,0.755625
16,0.17,0.0,0.0,0.7698557692307693
16,0.17,0.0,0.0001,0.7688942307692308
16,0.17,0.1,0.0,0.749423076923077
16,0.17,0.1,0.0001,0.7472115384615384
32,0.09,0.0,0.0,0.8461057692307692
32,0.09,0.0,0.0001,0.8467307692307692
32,0.09,0.1,0.0,0.8313942307692308
32,0.09,0.1,0.0001,0.832548076923077
32,0.12,0.0,0.0,0.8439423076923077
32,0.12,0.0,0.0001,0.8434134615384615
32,0.12,0.1,0.0,0.8312019230769231
32,0.12,0.1,0.0001,0.8317307692307693
32,0.15,0.0,0.0,0.84625
32,0.15,0.0,0.0001,0.8501923076923077
32,0.15,0.1,0.0,0.8295192307692307
32,0.15,0.1,0.0001,0.834326923076923
32,0.17,0.0,0.0,0.8434134615384615
32,0.17,0.0,0.0001,0.8472115384615385
32,0.17,0.1,0.0,0.8273557692307693
32,0.17,0.1,0.0001,0.8298557692307692
64,0.09,0.0,0.0,0.8789903846153846
64,0.09,0.0,0.0001,0.8799038461538462
64,0.09,0.1,0.0,0.8747596153846153
64,0.09,0.1,0.0001,0.8778365384615384
64,0.12,0.0,0.0,0.8787019230769231
64,0.12,0.0,0.0001,0.8811538461538462
64,0.12,0.1,0.0,0.8764903846153846
64,0.12,0.1,0.0001,0.8774519230769231
64,0.15,0.0,0.0,0.8762980769230769
64,0.15,0.0,0.0001,0.8791826923076923
64,0.15,0.1,0.0,0.875576923076923
64,0.15,0.1,0.0001,0.8782211538461538
64,0.17,0.0,0.0,0.8761057692307692
64,0.17,0.0,0.0001,0.879423076923077
64,0.17,0.1,0.0,0.874375
64,0.17,0.1,0.0001,0.8765865384615384
128,0.09,0.0,0.0,0.8989903846153846
128,0.09,0.0,0.0001,0.8995673076923076
128,0.09,0.1,0.0,0.8982692307692308
128,0.09,0.1,0.0001,0.8999519230769231
128,0.12,0.0,0.0,0.8981730769230769
128,0.12,0.0,0.0001,0.899375
128,0.12,0.1,0.0,0.8995192307692308
128,0.12,0.1,0.0001,0.9011538461538462
128,0.15,0.0,0.0,0.8967788461538462
128,0.15,0.0,0.0001,0.8975
128,0.15,0.1,0.0,0.8992788461538461
128,0.15,0.1,0.0001,0.9015384615384615
128,0.17,0.0,0.0,0.896298076923077
128,0.17,0.0,0.0001,0.8983173076923077
128,0.17,0.1,0.0,0.8994230769230769
128,0.17,0.1,0.0001,0.900576923076923
256,0.09,0.0,0.0,0.9059615384615385
256,0.09,0.0,0.0001,0.9071153846153847
256,0.09,0.1,0.0,0.910625
256,0.09,0.1,0.0001,0.9105288461538461
256,0.12,0.0,0.0,0.90625
256,0.12,0.0,0.0001,0.9063942307692308
256,0.12,0.1,0.0,0.9101923076923077
256,0.12,0.1,0.0001,0.9111057692307692
256,0.15,0.0,0.0,0.905625
256,0.15,0.0,0.0001,0.9090384615384616
256,0.15,0.1,0.0,0.9107211538461538
256,0.15,0.1,0.0001,0.9127884615384615
256,0.17,0.0,0.0,0.9066346153846154
256,0.17,0.0,0.0001,0.9085096153846154
256,0.17,0.1,0.0,0.9103846153846153
256,0.17,0.1,0.0001,0.9101442307692308
