width,learning_rate,dropout,l2,best_val_acc
16,0.0005,0.0,0.0,0.5857211538461539
16,0.0005,0.0,0.001,0.5826923076923077
16,0.0005,0.3,0.0,0.5399519230769231
16,0.0005,0.3,0.001,0.5553846153846154
16,0.001,0.0,0.0,0.6444711538461538
16,0.001,0.0,0.001,0.6350961538461538
16,0.001,0.3,0.0,0.5899038461538462
16,0.001,0.3,0.001,0.6029326923076923
16,0.002,0.0,0.0,0.6824038461538462
16,0.002,0.0,0.001,0.6733173076923077
16,0.002,0.3,0.0,0.6368269230769231
16,0.002,0.3,0.001,0.634375
16,0.005,0.0,0.0,0.7160096153846154
16,0.005,0.0,0.001,0.71875
16,0.005,0.3,0.0,0.6688942307692308
16,0.005,0.3,0.001,0.664375
32,0.0005,0.0,0.0,0.6103846153846154
32,0.0005,0.0,0.001,0.6105769230769231
32,0.0005,0.3,0.0,0.5924519230769231
32,0.0005,0.3,0.001,0.5800480769230769
32,0.001,0.0,0.0,0.6650961538461538
32,0.001,0.0,0.001,0.6620673076923077
32,0.001,0.3,0.0,0.6486057692307692
32,0.001,0.3,0.001,0.6301442307692308
32,0.002,0.0,0.0,0.7190384615384615
32,0.002,0.0,0.001,0.7147596153846154
32,0.002,0.3,0.0,0.6962980769230769
32,0.002,0.3,0.001,0.6902403846153846
32,0.005,0.0,0.0,0.7682211538461539
32,0.005,0.0,0.001,0.7645673076923077
32,0.005,0.3,0.0,0.7429807692307693
32,0.005,0.3,0.001,0.7454326923076923
64,0.0005,0.0,0.0,0.6224038461538461
64,0.0005,0.0,0.001,0.6220192307692308
64,0.0005,0.3,0.0,0.6075
64,0.0005,0.3,0.001,0.6046634615384615
64,0.001,0.0,0.0,0.6737980769230769
64,0.001,0.0,0.001,0.6759615384615385
64,0.001,0.3,0.0,0.6667788461538462
64,0.001,0.3,0.001,0.6639423076923077
64,0.002,0.0,0.0,0.7282211538461538
64,0.002,0.0,0.001,0.7240865384615385
64,0.002,0.3,0.0,0.7305769230769231
64,0.002,0.3,0.001,0.7273557692307693
64,0.005,0.0,0.0,0.8070192307692308
64,0.005,0.0,0.001,0.8058653846153846
64,0.005,0.3,0.0,0.7950480769230769
64,0.005,0.3,0.001,0.7867788461538462
128,0.0005,0.0,0.0,0.6267307692307692
128,0.0005,0.0,0.001,0.6235576923076923
128,0.0005,0.3,0.0,0.6170192307692308
128,0.0005,0.3,0.001,0.6204326923076923
128,0.001,0.0,0.0,0.6829807692307692
128,0.001,0.0,0.001,0.6795192307692308
128,0.001,0.3,0.0,0.6821634615384615
128,0.001,0.3,0.001,0.678076923076923
128,0.002,0.0,0.0,0.7435576923076923
128,0.002,0.0,0.001,0.7407211538461539
128,0.002,0.3,0.0,0.7467788461538462
128,0.002,0.3,0.001,0.7492307692307693
128,0.005,0.0,0.0,0.8252884615384616
128,0.005,0.0,0.001,0.820625
128,0.005,0.3,0.0,0.8223557692307693
128,0.005,0.3,0.001,0.8175961538461538
256,0.0005,0.0,0.0,0.6298557692307692
256,0.0005,0.0,0.001,0.6319230769230769
256,0.0005,0.3,0.0,0.6282211538461538
256,0.0005,0.3,0.001,0.6260576923076923
256,0.001,0.0,0.0,0.6882692307692307
256,0.001,0.0,0.001,0.6855769230769231
256,0.001,0.3,0.0,0.6922596153846153
256,0.001,0.3,0.001,0.6866346153846153
256,0.002,0.0,0.0,0.7520673076923077
256,0.002,0.0,0.001,0.745625
256,0.002,0.3,0.0,0.7579807692307692
256,0.002,0.3,0.001,0.7553846153846154
256,0.005,0.0,0.0,0.8352403846153846
256,0.005,0.0,0.001,0.8295673076923077
256,0.005,0.3,0.0,0.8364423076923077
256,0.005,0.3,0.001,0.8302403846153846
