width,learning_rate,dropout,l2,best_val_acc
16,0.02,0.0,0.0,0.7531730769230769
16,0.02,0.0,0.01,0.7068269230769231
16,0.02,0.5,0.0,0.6731730769230769
16,0.02,0.5,0.01,0.6153846153846154
16,0.05,0.0,0.0,0.7709134615384615
16,0.05,0.0,0.01,0.7192788461538462
16,0.05,0.5,0.0,0.6795192307692308
16,0.05,0.5,0.01,0.62125
16,0.08,0.0,0.0,0.7680769230769231
16,0.08,0.0,0.01,0.7155769230769231
16,0.08,0.5,0.0,0.6789423076923077
16,0.08,0.5,0.01,0.626875
16,0.15,0.0,0.0,0.7763461538461538
16,0.15,0.0,0.01,0.7164903846153846
16,0.15,0.5,0.0,0.6824038461538462
16,0.15,0.5,0.01,0.6072115384615384
32,0.02,0.0,0.0,0.8293269230769231
32,0.02,0.0,0.01,0.7607692307692308
32,0.02,0.5,0.0,0.7577403846153846
32,0.02,0.5,0.01,0.6799519230769231
32,0.05,0.0,0.0,0.8458173076923077
32,0.05,0.0,0.01,0.770625
32,0.05,0.5,0.0,0.7681730769230769
32,0.05,0.5,0.01,0.6883173076923077
32,0.08,0.0,0.0,0.8465384615384616
32,0.08,0.0,0.01,0.7703846153846153
32,0.08,0.5,0.0,0.7694711538461538
32,0.08,0.5,0.01,0.6827403846153847
32,0.15,0.0,0.0,0.84625
32,0.15,0.0,0.01,0.7612980769230769
32,0.15,0.5,0.0,0.765048076923077
32,0.15,0.5,0.01,0.6758173076923077
64,0.02,0.0,0.0,0.8644711538461538
64,0.02,0.0,0.01,0.7807211538461538
64,0.02,0.5,0.0,0.8222596153846153
64,0.02,0.5,0.01,0.7345673076923077
64,0.05,0.0,0.0,0.8775480769230769
64,0.05,0.0,0.01,0.7837980769230769
64,0.05,0.5,0.0,0.8321153846153846
64,0.05,0.5,0.01,0.7342307692307692
64,0.08,0.0,0.0,0.8770673076923077
64,0.08,0.0,0.01,0.7842788461538461
64,0.08,0.5,0.0,0.8348557692307692
64,0.08,0.5,0.01,0.7305288461538462
64,0.15,0.0,0.0,0.8762980769230769
64,0.15,0.0,0.01,0.7821634615384615
64,0.15,0.5,0.0,0.835
64,0.15,0.5,0.01,0.7206730769230769
128,0.02,0.0,0.0,0.8884615384615384
128,0.02,0.0,0.01,0.7930288461538462
128,0.02,0.5,0.0,0.8615384615384616
128,0.02,0.5,0.01,0.7622115384615384
128,0.05,0.0,0.0,0.8967307692307692
128,0.05,0.0,0.01,0.7969711538461538
128,0.05,0.5,0.0,0.8741346153846153
128,0.05,0.5,0.01,0.7630769230769231
128,0.08,0.0,0.0,0.8984134615384616
128,0.08,0.0,0.01,0.7949519230769231
128,0.08,0.5,0.0,0.8775
128,0.08,0.5,0.01,0.760625
128,0.15,0.0,0.0,0.8967788461538462
128,0.15,0.0,0.01,0.7888461538461539
128,0.15,0.5,0.0,0.8766826923076924
128,0.15,0.5,0.01,0.7512980769230769
256,0.02,0.0,0.0,0.8967307692307692
256,0.02,0.0,0.01,0.7940865384615384
256,0.02,0.5,0.0,0.8817307692307692
256,0.02,0.5,0.01,0.776875
256,0.05,0.0,0.0,0.9065865384615385
256,0.05,0.0,0.01,0.798125
256,0.05,0.5,0.0,0.8979326923076923
256,0.05,0.5,0.01,0.7791826923076923
256,0.08,0.0,0.0,0.905625
256,0.08,0.0,0.01,0.7951442307692308
256,0.08,0.5,0.0,0.9005288461538462
256,0.08,0.5,0.01,0.775
256,0.15,0.0,0.0,0.905625
256,0.15,0.0,0.01,0.7913461538461538
256,0.15,0.5,0.0,0.9013461538461538
256,0.15,0.5,0.01,0.7679807692307692
