width,learning_rate,dropout,l2,best_val_acc
16,0.001,0.0,0.0,0.6421634615384615
16,0.001,0.0,0.01,0.6282211538461538
16,0.001,0.5,0.0,0.5523557692307692
16,0.001,0.5,0.01,0.5644711538461539
16,0.005,0.0,0.0,0.7232211538461538
16,0.005,0.0,0.01,0.6825961538461538
16,0.005,0.5,0.0,0.635576923076923
16,0.005,0.5,0.01,0.6045673076923077
16,0.01,0.0,0.0,0.7495192307692308
16,0.01,0.0,0.01,0.6910096153846154
16,0.01,0.5,0.0,0.666923076923077
16,0.01,0.5,0.01,0.620048076923077
16,0.02,0.0,0.0,0.7666826923076923
16,0.02,0.0,0.01,0.713173076923077
16,0.02,0.5,0.0,0.6595192307692308
16,0.02,0.5,0.01,0.6230288461538461
32,0.001,0.0,0.0,0.6657692307692308
32,0.001,0.0,0.01,0.6535576923076923
32,0.001,0.5,0.0,0.6272115384615384
32,0.001,0.5,0.01,0.6000480769230769
32,0.005,0.0,0.0,0.7721153846153846
32,0.005,0.0,0.01,0.7177403846153846
32,0.005,0.5,0.0,0.715
32,0.005,0.5,0.01,0.6564423076923077
32,0.01,0.0,0.0,0.808125
32,0.01,0.0,0.01,0.7447596153846154
32,0.01,0.5,0.0,0.7439903846153846
32,0.01,0.5,0.01,0.6854807692307693
32,0.02,0.0,0.0,0.833701923076923
32,0.02,0.0,0.01,0.7564423076923077
32,0.02,0.5,0.0,0.7561057692307692
32,0.02,0.5,0.01,0.6834134615384615
64,0.001,0.0,0.0,0.6730288461538462
64,0.001,0.0,0.01,0.6576442307692307
64,0.001,0.5,0.0,0.6482211538461539
64,0.001,0.5,0.01,0.631201923076923
64,0.005,0.0,0.0,0.8053846153846154
64,0.005,0.0,0.01,0.7485576923076923
64,0.005,0.5,0.0,0.7709615384615385
64,0.005,0.5,0.01,0.7086057692307692
64,0.01,0.0,0.0,0.8472115384615385
64,0.01,0.0,0.01,0.7691346153846154
64,0.01,0.5,0.0,0.8042788461538461
64,0.01,0.5,0.01,0.7271634615384616
64,0.02,0.0,0.0,0.8691826923076923
64,0.02,0.0,0.01,0.7828846153846154
64,0.02,0.5,0.0,0.8216346153846154
64,0.02,0.5,0.01,0.7355769230769231
128,0.001,0.0,0.0,0.6823557692307692
128,0.001,0.0,0.01,0.6602884615384615
128,0.001,0.5,0.0,0.669375
128,0.001,0.5,0.01,0.6459615384615385
128,0.005,0.0,0.0,0.8266346153846154
128,0.005,0.0,0.01,0.7545673076923077
128,0.005,0.5,0.0,0.8070192307692308
128,0.005,0.5,0.01,0.7412980769230769
128,0.01,0.0,0.0,0.8655288461538462
128,0.01,0.0,0.01,0.7799038461538461
128,0.01,0.5,0.0,0.8391346153846154
128,0.01,0.5,0.01,0.7559134615384615
128,0.02,0.0,0.0,0.8844711538461538
128,0.02,0.0,0.01,0.7914903846153846
128,0.02,0.5,0.0,0.8611057692307692
128,0.02,0.5,0.01,0.7612980769230769
256,0.001,0.0,0.0,0.6878846153846154
256,0.001,0.0,0.01,0.6657211538461538
256,0.001,0.5,0.0,0.687451923076923
256,0.001,0.5,0.01,0.6572115384615385
256,0.005,0.0,0.0,0.8366826923076923
256,0.005,0.0,0.01,0.7613942307692307
256,0.005,0.5,0.0,0.8308173076923077
256,0.005,0.5,0.01,0.755576923076923
256,0.01,0.0,0.0,0.8766826923076924
256,0.01,0.0,0.01,0.7850480769230769
256,0.01,0.5,0.0,0.8607692307692307
256,0.01,0.5,0.01,0.7713942307692307
256,0.02,0.0,0.0,0.896298076923077
256,0.02,0.0,0.01,0.7948557692307693
256,0.02,0.5,0.0,0.8830288461538461
256,0.02,0.5,0.01,0.7769230769230769
