width,learning_rate,dropout,l2,best_val_acc
16,0.02,0.0,0.0,0.7531730769230769
16,0.02,0.0,0.01,0.7077403846153846
16,0.02,0.5,0.0,0.6672596153846154
16,0.02,0.5,0.01,0.6219711538461539
16,0.05,0.0,0.0,0.7898076923076923
16,0.05,0.0,0.01,0.7207211538461539
16,0.05,0.5,0.0,0.6834134615384615
16,0.05,0.5,0.01,0.6178846153846154
16,0.08,0.0,0.0,0.7766826923076923
16,0.08,0.0,0.01,0.7222115384615385
16,0.08,0.5,0.0,0.6787019230769231
16,0.08,0.5,0.01,0.6213461538461539
16,0.15,0.0,0.0,0.7764903846153847
16,0.15,0.0,0.01,0.7161538461538461
16,0.15,0.5,0.0,0.673125
16,0.15,0.5,0.01,0.6081730769230769
32,0.02,0.0,0.0,0.8271153846153846
32,0.02,0.0,0.01,0.7644711538461538
32,0.02,0.5,0.0,0.7620192307692307
32,0.02,0.5,0.01,0.6842307692307692
32,0.05,0.0,0.0,0.8422596153846154
32,0.05,0.0,0.01,0.7696634615384615
32,0.05,0.5,0.0,0.7678846153846154
32,0.05,0.5,0.01,0.6844230769230769
32,0.08,0.0,0.0,0.8410096153846154
32,0.08,0.0,0.01,0.7721153846153846
32,0.08,0.5,0.0,0.7759615384615385
32,0.08,0.5,0.01,0.6851442307692308
32,0.15,0.0,0.0,0.8457692307692307
32,0.15,0.0,0.01,0.7614423076923077
32,0.15,0.5,0.0,0.7688942307692308
32,0.15,0.5,0.01,0.6740865384615384
64,0.02,0.0,0.0,0.8707211538461539
64,0.02,0.0,0.01,0.781875
64,0.02,0.5,0.0,0.8226442307692308
64,0.02,0.5,0.01,0.7286057692307693
64,0.05,0.0,0.0,0.8792788461538461
64,0.05,0.0,0.01,0.79125
64,0.05,0.5,0.0,0.8326923076923077
64,0.05,0.5,0.01,0.73
64,0.08,0.0,0.0,0.8792307692307693
64,0.08,0.0,0.01,0.7871153846153847
64,0.08,0.5,0.0,0.8370192307692308
64,0.08,0.5,0.01,0.7285576923076923
64,0.15,0.0,0.0,0.8771634615384616
64,0.15,0.0,0.01,0.7811057692307692
64,0.15,0.5,0.0,0.835
64,0.15,0.5,0.01,0.7248557692307692
128,0.02,0.0,0.0,0.8858653846153847
128,0.02,0.0,0.01,0.791826923076923
128,0.02,0.5,0.0,0.8597115384615385
128,0.02,0.5,0.01,0.7604326923076923
128,0.05,0.0,0.0,0.8959615384615385
128,0.05,0.0,0.01,0.7937019230769231
128,0.05,0.5,0.0,0.8746634615384615
128,0.05,0.5,0.01,0.7643269230769231
128,0.08,0.0,0.0,0.8965865384615385
128,0.08,0.0,0.01,0.7935576923076924
128,0.08,0.5,0.0,0.8771153846153846
128,0.08,0.5,0.01,0.7610576923076923
128,0.15,0.0,0.0,0.8950961538461538
128,0.15,0.0,0.01,0.7922115384615385
128,0.15,0.5,0.0,0.8751442307692308
128,0.15,0.5,0.01,0.7488461538461538
256,0.02,0.0,0.0,0.8983173076923077
256,0.02,0.0,0.01,0.7941346153846154
256,0.02,0.5,0.0,0.8833653846153846
256,0.02,0.5,0.01,0.7765865384615385
256,0.05,0.0,0.0,0.9044230769230769
256,0.05,0.0,0.01,0.7986057692307692
256,0.05,0.5,0.0,0.8977884615384616
256,0.05,0.5,0.01,0.7815384615384615
256,0.08,0.0,0.0,0.9069711538461539
256,0.08,0.0,0.01,0.7971153846153847
256,0.08,0.5,0.0,0.9009615384615385
256,0.08,0.5,0.01,0.7764903846153847
256,0.15,0.0,0.0,0.9071153846153847
256,0.15,0.0,0.01,0.7890384615384616
256,0.15,0.5,0.0,0.900625
256,0.15,0.5,0.01,0.768125
